a_m=0.009246010048290298,b_m=0.002648018873008202,c_m=0.008575913291890601
time_s,source_pressure_pa,receiver_pressure_pa,receiver_envelope_pa
1.4890909090909093e-06,4.9620651987997715e-06,1.3958432168061673e-05,3.5899813463014806e-05
1.4972727272727276e-06,1.3395390146047882e-06,1.2223809741421743e-05,3.842223942607642e-05
1.5054545454545456e-06,-2.8819785496271573e-06,9.993399510557368e-06,4.0919908024758986e-05
1.5136363636363639e-06,-7.721248711913414e-06,7.228622249985646e-06,4.365938342754149e-05
1.5218181818181821e-06,-1.3188886122812713e-05,3.894532394776855e-06,4.638635849691045e-05
1.5300000000000002e-06,-1.928594550133253e-05,-3.8993410608105694e-08,4.937590639753404e-05
1.5381818181818184e-06,-2.6002474375077708e-05,-4.595978699572843e-06,5.237415751559082e-05
1.5463636363636367e-06,-3.331605375915046e-05,-9.792991202694144e-06,5.565827628544737e-05
1.5545454545454547e-06,-4.1190351946755014e-05,-1.5637722222103946e-05,5.8982803628649065e-05
1.562727272727273e-06,-4.9573719912986586e-05,-2.2127518282661776e-05,6.261951859849842e-05
1.570909090909091e-06,-5.839786008627538e-05,-2.924788531086092e-05,6.634014471673299e-05
1.5790909090909093e-06,-6.757660334638951e-05,-3.6970989002811735e-05,7.040285973798972e-05
1.5872727272727276e-06,-7.700483198367241e-05,-4.5254178479401e-05,7.460565582027007e-05
1.5954545454545456e-06,-8.655758891494163e-05,-5.4038563730007675e-05,7.918459603352033e-05
1.6036363636363639e-06,-9.608941560522333e-05,-6.324768064884123e-05,8.397275833303343e-05
1.6118181818181821e-06,-0.0001054339627949701,-7.27862805929939e-05,8.917583631265049e-05
1.6200000000000002e-06,-0.00011440391918021826,-8.253928425151365e-05,9.466991086542669e-05
1.6281818181818184e-06,-0.0001227913035373145,-9.237094211599275e-05,0.00010062294284607988
1.6363636363636367e-06,-0.0001303681653238029,-0.0001021242458880461,0.00010696042569179443
1.6445454545454547e-06,-0.00013688773742438106,-0.00011162063664936763,0.00011380675781501194
1.652727272727273e-06,-0.00014208608235171535,-0.00012066005645592723,0.00012114124160672886
1.6609090909090912e-06,-0.00014568426976937864,-0.00012902139009644074,0.00012904098053993812
1.6690909090909093e-06,-0.00014739111860095802,-0.00013646334297149674,0.0001375411301359632
